Project,Commit,Number,CodeBLEU,BLEU,Weighted BLEU,Syntax Match,Dataflow Match
basex,5570aea8cba14a83f1441b62d3bb1e2255af2761,3,0.953223012386251,0.9299084906123697,0.9317855524154786,0.9872340425531915,0.963963963963964
basex,606f18b01df8df3a98c66828bf5598b5bcd16612,1,1.0,1.0,1.0,1.0,1.0
basex,606f18b01df8df3a98c66828bf5598b5bcd16612,2,1.0,1.0,1.0,1.0,1.0
basex,68bab7a6eebf7ec72df6adca541096ecac08ec28,1,0.46761043698677246,0.4128784949279585,0.4272785770651641,0.6456692913385826,0.38461538461538464
basex,6c6cae6c646eb17f925521bed2c373404b632e0c,1,0.4010276200524849,0.08898506883690382,0.2718475624613839,0.7887323943661971,0.45454545454545453
basex,6e098192f69390ce9c91d140326431258dfc74c6,1,0.1772269895098429,0.00992494638948249,0.04238126401955736,0.41015625,0.24644549763033174
basex,8a545bb8c95694c053f0b0bdb91061a857291f5d,1,1.0,1.0,1.0,1.0,1.0
basex,a3cb4b30f86238897281ee4ca6cf18a8df96da35,1,0.4208980184196344,0.19394565493276544,0.19830783606860694,0.29133858267716534,1.0
basex,a3cb4b30f86238897281ee4ca6cf18a8df96da35,2,0.7957712104474607,0.8039370050238432,0.8115946452766378,0.8425531914893617,0.725
basex,ae7bbc6d0228b9f64cc30c7f2bbb4a18531d07c3,1,0.7517930177095262,0.4461287756403094,0.8024226055426228,0.7586206896551724,1.0
basex,b046fc031c75164c4c81a9a35375413edc3e9ccb,1,1.0,1.0,1.0,1.0,1.0
basex,b046fc031c75164c4c81a9a35375413edc3e9ccb,2,1.0,1.0,1.0,1.0,1.0
basex,b046fc031c75164c4c81a9a35375413edc3e9ccb,3,1.0,1.0,1.0,1.0,1.0
basex,b046fc031c75164c4c81a9a35375413edc3e9ccb,4,1.0,1.0,1.0,1.0,1.0
basex,b046fc031c75164c4c81a9a35375413edc3e9ccb,5,1.0,1.0,1.0,1.0,1.0
basex,b046fc031c75164c4c81a9a35375413edc3e9ccb,7,0.9732822984391187,0.9456329342976758,0.9474962594587989,1.0,1.0
basex,b046fc031c75164c4c81a9a35375413edc3e9ccb,8,1.0,1.0,1.0,1.0,1.0
basex,b5c83cc7d948e110728bcfa8b14090f717cfd87a,1,0.6814674747188642,0.700487718300918,0.717689872882231,0.6410256410256411,0.6666666666666666
basex,b5c83cc7d948e110728bcfa8b14090f717cfd87a,2,1.0,1.0,1.0,1.0,1.0
basex,beeba9b6421371785b67270f673a17f4f30f9230,1,0.989843169957032,0.9794625309141647,0.9799101489139633,1.0,1.0
basex,beeba9b6421371785b67270f673a17f4f30f9230,2,0.9778654563826417,0.9551190479308641,0.9563427775997025,1.0,1.0
basex,c905544942b89d18792dcc7a86c8aff085911f81,1,1.0,1.0,1.0,1.0,1.0
basex,cf9e518af54796594b30b7d7d5de601058dc7a56,1,0.5249606343036759,0.30399790120804154,0.45770361036563634,0.6923076923076923,0.6458333333333334
basex,e0f2a0081965b7b0a67154b169328a4c5793cfb3,1,0.9429630915487337,0.904166858660398,0.9055233453723747,0.9621621621621622,1.0
